               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059973,             0.02033,           0.0091276,             0.57997,             0.67933,             0.64142,             0.39241,            0.038154,           0.0064488,           0.0017435,             0.07007,           0.0033256,           0.0033256
                   1,            0.041336,            0.016113,           0.0027205,             0.79574,              0.7349,             0.82053,             0.53932,            0.032425,           0.0061363,           0.0013543,            0.040037,            0.006626,            0.006626
                   2,            0.039768,            0.015726,           0.0022849,             0.59908,             0.68283,              0.6271,              0.3497,            0.035106,           0.0068851,           0.0014098,           0.0099707,           0.0098933,           0.0098933
                   3,             0.03981,            0.016557,           0.0024486,             0.60781,             0.59205,             0.61673,             0.35912,            0.034865,           0.0074994,          0.00097971,           0.0098515,           0.0098515,           0.0098515
                   4,            0.038555,            0.016604,           0.0021402,             0.60131,             0.67225,             0.68052,             0.36092,             0.03404,           0.0069044,          0.00080405,           0.0098515,           0.0098515,           0.0098515
                   5,            0.036544,             0.01608,           0.0016866,             0.73236,             0.81324,             0.79512,             0.47164,            0.030048,           0.0065639,          0.00032348,            0.009802,            0.009802,            0.009802
                   6,            0.034296,            0.015609,           0.0014789,             0.71793,              0.7746,             0.78785,             0.46675,            0.029909,           0.0062753,          0.00050548,           0.0097525,           0.0097525,           0.0097525
                   7,            0.033171,            0.015161,           0.0014749,             0.63006,             0.78147,             0.72778,              0.4862,            0.027988,           0.0063226,           0.0005472,            0.009703,            0.009703,            0.009703
                   8,            0.032768,             0.01495,            0.001336,             0.68557,             0.82179,             0.77192,             0.46919,            0.027759,           0.0062651,           0.0003411,           0.0096535,           0.0096535,           0.0096535
                   9,            0.032055,            0.014756,           0.0011371,             0.77814,             0.74989,              0.8072,             0.53562,             0.02679,           0.0060764,          0.00039794,            0.009604,            0.009604,            0.009604
                  10,            0.031018,            0.014436,          0.00098186,             0.76271,             0.80668,             0.80755,             0.53266,            0.026818,           0.0062969,          0.00056798,           0.0095545,           0.0095545,           0.0095545
                  11,            0.030955,            0.014132,            0.001065,             0.79002,             0.86456,             0.85662,             0.55878,            0.027238,           0.0057455,          0.00025801,            0.009505,            0.009505,            0.009505
                  12,            0.030306,            0.013989,          0.00098105,             0.81772,             0.84208,             0.87507,             0.60726,            0.026262,           0.0056844,          0.00021813,           0.0094555,           0.0094555,           0.0094555
                  13,             0.02931,            0.014212,           0.0010735,             0.81536,             0.81512,               0.852,             0.58055,             0.02539,           0.0056264,          0.00027974,            0.009406,            0.009406,            0.009406
                  14,            0.029642,            0.013986,          0.00090621,             0.76526,             0.80656,              0.8463,             0.57772,            0.025309,           0.0056076,          0.00046587,           0.0093565,           0.0093565,           0.0093565
                  15,            0.029533,             0.01381,          0.00090545,             0.82084,             0.83275,             0.89138,             0.62568,             0.02523,           0.0054968,          0.00021675,            0.009307,            0.009307,            0.009307
                  16,            0.028355,            0.013624,          0.00077393,             0.90419,              0.8353,             0.90808,             0.65687,            0.025599,           0.0054005,          0.00015694,           0.0092575,           0.0092575,           0.0092575
                  17,            0.028717,            0.013525,          0.00070025,             0.84274,             0.82339,             0.87805,             0.62975,            0.025264,           0.0055487,          0.00034055,            0.009208,            0.009208,            0.009208
                  18,             0.02803,            0.013367,          0.00073684,             0.85326,             0.72996,             0.85524,             0.60079,            0.026039,           0.0056494,          0.00057732,           0.0091585,           0.0091585,           0.0091585
                  19,            0.027977,            0.013446,          0.00094356,             0.86177,             0.86881,             0.90495,             0.63957,            0.023576,           0.0053523,          0.00016632,            0.009109,            0.009109,            0.009109
                  20,            0.027311,            0.013107,          0.00074608,             0.89956,             0.80275,             0.89366,             0.64638,            0.024179,           0.0055856,          0.00019579,           0.0090595,           0.0090595,           0.0090595
                  21,            0.027546,            0.013012,          0.00089431,             0.86716,             0.80667,             0.89144,             0.64791,            0.023873,           0.0054433,          0.00022881,             0.00901,             0.00901,             0.00901
                  22,            0.027672,            0.012897,          0.00066524,             0.87374,             0.86163,             0.91035,             0.65179,             0.02553,           0.0053944,          0.00016342,           0.0089605,           0.0089605,           0.0089605
                  23,            0.026964,             0.01283,          0.00078032,             0.85275,             0.88314,             0.90735,             0.65037,            0.025501,           0.0055087,          0.00013724,            0.008911,            0.008911,            0.008911
                  24,            0.026611,              0.0127,          0.00074892,             0.85042,             0.86931,             0.90505,             0.65724,            0.025074,           0.0052412,          0.00012461,           0.0088615,           0.0088615,           0.0088615
                  25,            0.026182,            0.012579,          0.00063584,               0.885,             0.88379,             0.92141,             0.67817,            0.025103,           0.0052214,          0.00015287,            0.008812,            0.008812,            0.008812
                  26,            0.025851,            0.012289,          0.00059995,             0.88873,             0.85124,             0.91547,             0.67715,            0.023949,           0.0051865,          0.00010582,           0.0087625,           0.0087625,           0.0087625
                  27,            0.026102,            0.012665,          0.00069902,             0.86969,             0.86122,             0.90102,             0.66102,            0.024276,           0.0053058,          0.00022783,            0.008713,            0.008713,            0.008713
                  28,            0.025922,            0.012457,          0.00057681,             0.90283,              0.8652,             0.91735,             0.68175,            0.024527,            0.005152,          0.00013033,           0.0086635,           0.0086635,           0.0086635
                  29,            0.025477,            0.012445,          0.00063654,             0.86562,             0.88449,             0.91245,             0.67014,            0.023369,           0.0050639,          0.00014132,            0.008614,            0.008614,            0.008614
                  30,            0.025245,            0.012368,          0.00060098,              0.8685,             0.84398,             0.90618,             0.66739,            0.024331,           0.0051853,          0.00015637,           0.0085645,           0.0085645,           0.0085645
                  31,            0.025049,            0.012181,          0.00061081,             0.89903,             0.86462,             0.91178,             0.67587,            0.023245,           0.0051194,          0.00011079,            0.008515,            0.008515,            0.008515
                  32,             0.02498,            0.012075,          0.00069896,             0.90735,             0.86163,             0.92198,             0.69922,            0.023205,           0.0049842,          0.00011053,           0.0084655,           0.0084655,           0.0084655
                  33,            0.024478,            0.011811,          0.00063686,             0.86962,              0.8823,             0.92501,             0.68684,            0.022687,           0.0048413,          0.00020029,            0.008416,            0.008416,            0.008416
                  34,            0.024657,            0.011966,          0.00056287,              0.8866,             0.87958,               0.927,             0.69266,            0.023043,           0.0049286,          0.00012504,           0.0083665,           0.0083665,           0.0083665
                  35,             0.02476,            0.012031,          0.00074544,             0.93635,             0.86329,             0.92497,             0.70281,            0.023352,           0.0051023,          0.00016395,            0.008317,            0.008317,            0.008317
                  36,            0.024269,            0.011741,          0.00058031,             0.89164,             0.87502,              0.9225,             0.69659,            0.022191,           0.0048238,          0.00010556,           0.0082675,           0.0082675,           0.0082675
                  37,             0.02417,            0.011549,          0.00058079,             0.87446,             0.86484,             0.93041,             0.69586,            0.023049,           0.0048613,          0.00012502,            0.008218,            0.008218,            0.008218
                  38,            0.023957,            0.011592,          0.00054101,             0.85337,             0.87831,              0.9242,             0.71327,            0.023047,           0.0049826,          0.00017689,           0.0081685,           0.0081685,           0.0081685
                  39,            0.023981,            0.011735,          0.00046401,             0.88625,             0.87537,             0.92601,             0.70973,            0.022582,            0.004983,          0.00011188,            0.008119,            0.008119,            0.008119
                  40,             0.02385,            0.011592,          0.00054022,             0.88097,             0.89777,             0.92938,             0.69048,            0.022298,           0.0048078,          8.9904e-05,           0.0080695,           0.0080695,           0.0080695
                  41,            0.023553,              0.0116,          0.00045096,             0.89475,             0.86077,             0.91778,             0.69196,            0.022727,           0.0049383,          0.00011925,             0.00802,             0.00802,             0.00802
                  42,            0.023672,            0.011574,          0.00052545,             0.90963,             0.90772,             0.93429,             0.70103,            0.022944,           0.0048264,          9.0328e-05,           0.0079705,           0.0079705,           0.0079705
                  43,            0.023753,            0.011437,          0.00056794,             0.89256,             0.90065,             0.93038,             0.71577,             0.02215,           0.0048132,          0.00010131,            0.007921,            0.007921,            0.007921
                  44,            0.023279,            0.011415,          0.00051774,             0.91222,              0.9033,             0.94207,             0.73534,            0.021565,            0.004701,          7.9698e-05,           0.0078715,           0.0078715,           0.0078715
                  45,            0.022903,            0.011222,          0.00052448,             0.86564,             0.89344,             0.92522,              0.7078,            0.022344,           0.0048482,          0.00014325,            0.007822,            0.007822,            0.007822
                  46,            0.022998,            0.011302,          0.00053719,             0.88009,             0.90141,             0.92945,             0.71319,             0.02246,           0.0049283,          0.00011398,           0.0077725,           0.0077725,           0.0077725
                  47,            0.022735,            0.011355,           0.0005139,             0.87077,             0.90588,             0.92373,             0.72129,            0.022439,           0.0047363,           0.0001487,            0.007723,            0.007723,            0.007723
                  48,            0.022523,            0.010944,          0.00043107,             0.85274,             0.91351,             0.93587,             0.73161,            0.022351,           0.0049233,          0.00016267,           0.0076735,           0.0076735,           0.0076735
                  49,            0.022499,            0.011056,          0.00037792,             0.84676,             0.90969,             0.90155,             0.71067,            0.022289,             0.00491,          0.00016993,            0.007624,            0.007624,            0.007624
                  50,             0.02246,            0.010956,          0.00048122,             0.91821,             0.89344,             0.93828,             0.72775,            0.022225,           0.0049269,          9.4913e-05,           0.0075745,           0.0075745,           0.0075745
                  51,            0.022537,            0.010932,           0.0004671,             0.88913,             0.92094,             0.93326,             0.73376,            0.022432,           0.0048494,          0.00012838,            0.007525,            0.007525,            0.007525
                  52,            0.022111,            0.010942,          0.00042817,             0.91741,             0.89158,             0.93729,             0.74554,            0.022587,           0.0048756,          0.00010393,           0.0074755,           0.0074755,           0.0074755
                  53,            0.021821,            0.010794,          0.00044525,             0.90781,             0.88861,              0.9312,             0.72082,            0.021836,            0.004992,          0.00012264,            0.007426,            0.007426,            0.007426
                  54,            0.021945,            0.010857,           0.0005541,             0.91056,              0.8701,             0.93682,             0.72203,            0.021486,           0.0047987,           9.502e-05,           0.0073765,           0.0073765,           0.0073765
                  55,            0.022093,             0.01075,          0.00047322,             0.91324,             0.88416,             0.93236,             0.73317,             0.02137,           0.0047705,          0.00011589,            0.007327,            0.007327,            0.007327
                  56,            0.021815,            0.010745,          0.00042117,             0.90541,             0.91819,             0.93952,             0.74222,            0.021282,           0.0046422,          7.9003e-05,           0.0072775,           0.0072775,           0.0072775
                  57,            0.021568,            0.010565,          0.00030065,             0.91872,               0.902,              0.9399,              0.7525,            0.021193,           0.0045522,          7.5366e-05,            0.007228,            0.007228,            0.007228
                  58,            0.021451,            0.010477,          0.00038275,             0.91304,             0.91015,             0.94163,             0.74479,            0.021244,           0.0045271,           8.532e-05,           0.0071785,           0.0071785,           0.0071785
                  59,            0.021932,             0.01073,          0.00043255,             0.90896,             0.90272,             0.93796,             0.73844,            0.021652,           0.0045411,           0.0001304,            0.007129,            0.007129,            0.007129
                  60,            0.021724,            0.010435,          0.00041641,               0.927,             0.89096,             0.94165,              0.7388,            0.021805,           0.0045807,          7.7449e-05,           0.0070795,           0.0070795,           0.0070795
                  61,            0.021184,            0.010717,          0.00034409,             0.91809,              0.8882,             0.94083,             0.73929,            0.021436,           0.0046594,          6.7096e-05,             0.00703,             0.00703,             0.00703
                  62,            0.021111,            0.010527,          0.00042109,             0.91286,             0.88801,             0.94393,             0.75113,            0.021423,           0.0046774,          7.6677e-05,           0.0069805,           0.0069805,           0.0069805
                  63,            0.021269,            0.010253,          0.00035971,             0.90014,             0.89394,               0.936,             0.74833,            0.021068,           0.0046033,          0.00011884,            0.006931,            0.006931,            0.006931
                  64,            0.020699,            0.010341,          0.00040811,             0.88726,             0.91214,             0.92831,             0.72356,             0.02143,           0.0046289,          0.00018314,           0.0068815,           0.0068815,           0.0068815
                  65,               0.021,            0.010468,          0.00054382,             0.88113,             0.91932,             0.92841,             0.73177,            0.020813,           0.0044682,          0.00019684,            0.006832,            0.006832,            0.006832
                  66,             0.02093,            0.010329,          0.00040116,             0.90066,             0.91901,             0.94574,             0.75062,            0.021089,           0.0046058,          0.00011211,           0.0067825,           0.0067825,           0.0067825
                  67,            0.020933,            0.010419,          0.00033201,             0.91962,              0.8965,             0.94498,             0.76897,            0.020911,           0.0045853,          0.00010188,            0.006733,            0.006733,            0.006733
                  68,            0.020856,            0.010209,          0.00040404,             0.89322,             0.91696,              0.9416,             0.76822,            0.020722,           0.0045732,          0.00011069,           0.0066835,           0.0066835,           0.0066835
                  69,            0.020922,            0.010152,          0.00041321,             0.88619,             0.91634,             0.94049,             0.76014,             0.02104,           0.0045291,          0.00014111,            0.006634,            0.006634,            0.006634
                  70,            0.020354,            0.010269,          0.00034975,             0.86793,               0.912,             0.93882,             0.76293,            0.020619,           0.0046389,          0.00010764,           0.0065845,           0.0065845,           0.0065845
                  71,            0.020325,            0.010035,          0.00032806,             0.86025,             0.91939,             0.93485,             0.76067,            0.021035,           0.0045609,          0.00012433,            0.006535,            0.006535,            0.006535
                  72,            0.020393,            0.010008,          0.00046623,             0.92179,             0.91262,             0.94281,             0.75718,             0.02141,           0.0045662,          0.00012366,           0.0064855,           0.0064855,           0.0064855
                  73,            0.020764,            0.010192,          0.00041687,             0.91529,             0.90384,             0.94634,             0.75977,            0.021269,           0.0044976,          8.0387e-05,            0.006436,            0.006436,            0.006436
                  74,            0.020321,            0.010192,          0.00037425,             0.92491,             0.90987,             0.94671,             0.75733,            0.020905,           0.0045207,          8.1469e-05,           0.0063865,           0.0063865,           0.0063865
                  75,            0.019979,            0.010005,           0.0003495,             0.91459,             0.91081,             0.94622,             0.75896,            0.020275,           0.0045577,          7.8418e-05,            0.006337,            0.006337,            0.006337
                  76,            0.020113,           0.0098818,          0.00029477,             0.92396,             0.90553,             0.94285,             0.76192,            0.020948,           0.0044889,          9.8594e-05,           0.0062875,           0.0062875,           0.0062875
                  77,            0.020063,            0.010059,          0.00035441,             0.92405,             0.92479,             0.94677,             0.76669,            0.020673,           0.0043478,          0.00012811,            0.006238,            0.006238,            0.006238
                  78,             0.02011,           0.0098795,          0.00026627,             0.92701,             0.90891,             0.94833,              0.7762,            0.020667,           0.0043396,          0.00010993,           0.0061885,           0.0061885,           0.0061885
                  79,            0.019813,            0.010054,          0.00031686,             0.92905,             0.90594,             0.94972,             0.77407,            0.020805,           0.0043459,          0.00013766,            0.006139,            0.006139,            0.006139
                  80,            0.019718,           0.0096884,          0.00038887,             0.93002,             0.91894,             0.94865,             0.76712,            0.020946,           0.0043668,           0.0001292,           0.0060895,           0.0060895,           0.0060895
                  81,            0.020047,           0.0099578,          0.00034445,             0.93099,              0.9279,             0.95735,             0.76633,            0.021036,           0.0043324,          9.1752e-05,             0.00604,             0.00604,             0.00604
                  82,            0.020091,           0.0099778,          0.00039807,             0.92908,             0.93255,             0.95344,             0.76084,             0.02071,           0.0043745,          0.00010253,           0.0059905,           0.0059905,           0.0059905
                  83,            0.019454,           0.0096899,          0.00036817,             0.93653,             0.93103,             0.95111,             0.75963,            0.020824,           0.0044274,          0.00010136,            0.005941,            0.005941,            0.005941
                  84,            0.019515,           0.0097549,          0.00025403,             0.91429,             0.91545,             0.94681,             0.75411,            0.020608,           0.0043781,          8.7811e-05,           0.0058915,           0.0058915,           0.0058915
                  85,             0.01945,           0.0096432,          0.00037972,             0.90626,             0.92301,             0.94646,             0.77267,            0.020407,           0.0043701,          0.00010897,            0.005842,            0.005842,            0.005842
                  86,              0.0199,           0.0096797,          0.00039823,             0.93572,             0.90741,             0.94856,             0.77778,            0.020507,           0.0043909,          0.00010984,           0.0057925,           0.0057925,           0.0057925
                  87,            0.019005,           0.0096208,          0.00025747,             0.90508,             0.92129,             0.95299,             0.78192,            0.020481,           0.0044488,          9.7482e-05,            0.005743,            0.005743,            0.005743
                  88,             0.01885,            0.009643,          0.00027255,             0.93052,             0.91754,             0.95598,             0.79136,            0.020439,           0.0043918,          8.0753e-05,           0.0056935,           0.0056935,           0.0056935
                  89,            0.018997,           0.0095129,           0.0002165,             0.91787,             0.92144,             0.95107,             0.79117,            0.020222,           0.0043975,          7.3605e-05,            0.005644,            0.005644,            0.005644
                  90,            0.018906,           0.0095674,          0.00031892,             0.92158,             0.92327,             0.95171,             0.78765,            0.020109,           0.0044227,          7.5866e-05,           0.0055945,           0.0055945,           0.0055945
                  91,            0.018945,           0.0094728,          0.00029576,             0.92668,             0.92822,             0.95284,             0.77376,             0.02028,           0.0044165,          7.5445e-05,            0.005545,            0.005545,            0.005545
                  92,             0.01888,           0.0093796,          0.00030875,             0.92447,             0.93085,             0.94934,             0.77583,            0.020363,           0.0045053,          9.9673e-05,           0.0054955,           0.0054955,           0.0054955
                  93,            0.018919,           0.0092896,          0.00030852,             0.92591,             0.92389,             0.94682,             0.77367,            0.020362,           0.0045369,          0.00012099,            0.005446,            0.005446,            0.005446
                  94,            0.018674,           0.0094267,          0.00033652,             0.92005,             0.93354,              0.9526,             0.78354,            0.020498,           0.0045201,          0.00010957,           0.0053965,           0.0053965,           0.0053965
                  95,            0.018584,           0.0093485,          0.00033116,             0.92637,             0.93069,             0.95111,             0.77757,            0.020633,           0.0044951,          0.00010813,            0.005347,            0.005347,            0.005347
                  96,            0.019035,           0.0094152,          0.00033004,             0.93549,              0.9259,             0.95413,             0.77715,             0.02047,           0.0044953,          0.00011316,           0.0052975,           0.0052975,           0.0052975
                  97,            0.018561,           0.0092707,          0.00020492,             0.91995,             0.92362,             0.95224,             0.77745,            0.020472,           0.0045128,          0.00012864,            0.005248,            0.005248,            0.005248
                  98,            0.018078,           0.0093698,          0.00026488,             0.91626,              0.9276,             0.94974,             0.78468,            0.020449,           0.0045195,          0.00011379,           0.0051985,           0.0051985,           0.0051985
